Id,Age,Rank,Year,Time,Pace,Sex
390,30,1264,2016,15301,584,1
391,30,22,2016,10716,410,1
392,45,1866,2016,16979,649,0
393,30,176,2016,12084,462,1
394,50,268,2016,12537,479,0
395,35,1531,2016,16083,614,1
395,36,1348,2014,15971,609,1
396,25,2196,2016,17978,687,0
397,50,713,2016,13945,533,1
397,48,939,2012,14322,546,1
397,50,1461,2014,16171,617,1
398,20,265,2016,12530,479,1
399,40,2074,2016,17547,670,0
400,30,1411,2016,15786,603,0
401,50,2181,2016,17920,684,1
402,45,1459,2016,15933,609,1
403,35,653,2016,13757,526,1
404,30,597,2016,13614,520,0
405,50,338,2016,12769,488,1
406,30,2406,2016,18891,722,0
407,25,1395,2016,15730,601,0
408,25,1466,2016,15944,609,0
408,26,3414,2013,7324,559,0
409,25,36,2016,10886,416,1
410,35,297,2016,12625,482,1
410,35,150,2015,12198,465,1
410,29,88,2009,11383,434,1
410,28,213,2008,12391,472,1
410,27,985,2007,15753,601,1
410,32,101,2012,11465,437,1
411,40,15,2016,10530,402,0
412,65,3076,2012,18933,722,1
412,65,2478,2015,20521,783,1
412,67,3275,2014,21626,825,1
412,64,2634,2011,17862,681,1
412,65,2807,2016,21130,807,1
413,35,1099,2016,14872,568,1
414,40,2573,2016,19584,748,1
415,50,1425,2016,15815,604,1
416,20,1952,2016,17224,658,0
417,35,1013,2016,14616,558,1
418,40,2771,2016,20850,796,1
419,46,333,2005,13381,510,1
419,55,2369,2014,18244,696,1
419,52,1742,2011,15748,601,1
419,53,2098,2012,16552,631,1
419,48,662,2007,14691,560,1
419,55,1409,2016,15772,602,1
419,47,432,2006,13432,512,1
419,50,1019,2009,14927,569,1
419,45,155,2004,12560,479,1
419,49,490,2008,13475,514,1
419,55,1782,2015,17014,649,1
419,51,1224,2010,15841,604,1
420,35,2182,2016,17921,684,1
421,50,286,2016,12592,481,1
421,49,152,2014,12352,471,1
421,47,120,2012,11626,443,1
421,50,256,2015,12757,486,1
421,45,77,2010,11473,437,1
422,30,1317,2016,15475,591,0
423,35,307,2015,12919,493,1
423,35,738,2016,13999,535,1
424,25,2292,2016,18344,701,1
425,45,283,2016,12581,481,1
426,35,561,2015,13668,521,1
426,40,637,2016,13705,524,1
427,35,2535,2016,19406,741,0
428,25,2987,2013,7195,549,1
428,40,1196,2014,15576,594,1
428,35,2447,2016,19041,727,1
429,60,596,2016,13611,520,1
430,20,2440,2016,19025,727,0
431,55,395,2016,13001,497,1
431,47,197,2007,12795,488,1
432,35,2192,2016,17954,686,1
433,30,1902,2016,17083,652,1
434,40,2321,2016,18466,705,1
435,35,2814,2016,21214,810,0
436,50,2548,2015,21189,808,1
436,46,2590,2009,20987,801,1
436,49,3750,2012,22142,845,1
436,44,2124,2007,20344,776,1
436,43,1979,2006,19516,744,1
436,50,2903,2016,22171,847,1
436,47,2619,2010,20773,792,1
436,51,3011,2014,20330,775,1
436,45,2348,2008,19775,754,1
437,50,2448,2016,19043,727,1
438,45,2209,2016,18007,688,0
438,47,2301,2014,18053,689,0
439,45,1387,2016,15712,600,1
440,45,2590,2016,19657,751,0
441,40,1666,2016,16437,628,1
442,15,2169,2016,17884,683,1
443,25,2678,2016,20129,769,1
444,30,364,2016,12867,492,0
445,40,2677,2016,20124,769,1
446,35,1823,2016,16873,644,1
447,30,2033,2016,17446,666,1
448,30,261,2016,12515,478,1
448,33,189,2014,12599,480,1
449,35,2286,2016,18322,700,1
450,25,778,2016,14076,538,1
451,50,2243,2016,18154,693,0
452,45,2618,2016,19782,756,1
453,35,2581,2016,19625,750,1
454,20,351,2016,12818,490,1
455,40,476,2016,13275,507,0
456,30,449,2016,13164,503,1
457,40,907,2016,14344,548,1
458,40,2449,2016,19049,728,0
459,25,246,2016,12437,475,1
460,35,2203,2016,17990,687,1
461,40,1843,2016,16928,647,1
461,38,1682,2011,15627,596,1
461,41,1721,2014,16707,637,1
462,37,2841,2010,24021,916,1
462,40,2935,2016,22710,867,1
462,40,2515,2015,20831,795,1
463,35,2954,2016,23192,886,1
464,40,1123,2016,14926,570,1
465,25,767,2016,14049,537,1
466,30,1133,2016,14943,571,0
467,45,873,2016,14281,546,1
468,50,1360,2016,15603,596,1
469,54,1159,2010,15700,599,1
469,60,1330,2016,15519,593,1
469,49,851,2005,15468,590,1
469,53,1316,2009,15680,598,1
469,55,1181,2011,14501,553,1
469,58,1345,2014,15959,609,1
469,51,926,2007,15617,596,1
469,56,1905,2012,16172,617,1
469,52,992,2008,14955,570,1
470,33,2221,2010,18677,712,1
470,31,2221,2008,19034,726,1
470,45,3142,2013,7243,552,1
470,35,3519,2012,20629,787,1
470,35,2800,2016,21060,804,1
470,34,2525,2011,17563,670,1
470,40,910,2016,14347,548,1
471,50,202,2016,12234,467,1
472,40,828,2016,14184,542,1
473,55,2369,2015,19664,750,0
473,55,2414,2016,18929,723,0
474,35,2840,2016,21553,823,0
475,35,585,2016,13570,518,0
476,40,2080,2016,17572,671,0
476,37,2618,2011,17821,680,0
477,50,804,2016,14133,540,1
478,35,1124,2016,14927,570,1
479,45,1612,2015,16449,627,1
479,45,1842,2014,16966,647,1
479,43,1158,2012,14802,564,1
479,42,800,2011,13776,525,1
479,45,1868,2016,16982,649,1
479,41,859,2010,14893,568,1
480,44,1992,2014,17306,660,1
480,45,561,2016,13507,516,1
481,34,1353,2014,15973,609,1
481,32,1795,2012,15990,610,1
481,35,1383,2016,15694,599,1
482,30,804,2015,14302,545,1
482,30,3862,2012,23220,886,1
482,32,2024,2014,17382,663,1
482,30,1427,2016,15829,605,1
483,45,2363,2016,18670,713,0
483,45,1363,2015,15831,604,0
483,45,1767,2014,16811,641,0
484,45,414,2016,13089,500,1
485,30,1805,2016,16820,642,0
486,35,2043,2016,17480,668,1
487,30,2128,2016,17750,678,1
488,40,2420,2016,18946,724,0
489,33,2074,2013,6895,526,1
489,35,1669,2016,16443,628,1
490,57,1685,2014,16633,634,1
490,45,983,2006,15343,585,1
490,51,1241,2008,15685,598,1
490,53,1440,2010,16366,624,1
490,50,873,2007,15424,588,1
490,55,2035,2016,17464,667,1
491,55,1759,2015,16934,646,1
491,58,1222,2014,15626,596,1
491,60,1151,2016,14989,573,1
492,50,1111,2016,14897,569,1
493,20,700,2015,14048,536,1
493,20,132,2016,11828,452,1
494,31,1452,2014,16149,616,1
494,30,835,2016,14202,543,1
495,45,97,2016,11561,442,1
495,46,49,2014,11272,430,1
495,35,51,2003,11165,426,1
495,40,76,2008,11239,428,1
495,36,54,2004,11352,433,1
496,40,2374,2016,18735,716,1
497,39,1229,2010,15846,604,1
497,42,2830,2013,7153,546,1
497,45,1513,2016,16032,612,1
497,41,2481,2012,17421,664,1
