,Id,Age,Rank,Year,Time,Pace,Sex,Temp,halfMarathonTime,yrsSinceLast,raceCount,prevRaceCount,nTime,nPace,nRank
11047,6723,40,1999,2007,19545,746,1,22.2,,1,3,2,0.785995279308,0.391281713116,0.392174704277
11048,6723,40,1906,2006,19093,728,1,21.1,,1,3,1,0.76907549455,0.356581467538,0.35670995671
11049,6724,30,1116,2005,16590,633,0,18.9,,0,1,0,0.633162975582,0.311023328613,0.3115234375
11050,6725,35,1441,2005,18454,704,0,18.9,,0,1,0,0.817717206133,0.380487441306,0.380859375
11051,6726,30,105,2005,11789,449,1,18.9,,0,1,0,0.0590573537763,0.132108519043,0.1318359375
11052,6727,30,1178,2005,16892,644,0,18.9,,0,1,0,0.668370244179,0.322277707386,0.322265625
11053,6728,40,584,2005,14329,546,1,18.9,,0,1,0,0.33106189665,0.226764552433,0.2265625
11054,6729,25,1438,2006,16921,645,0,21.1,,1,2,1,0.580137262818,0.284855689849,0.284848484848
11055,6729,25,1174,2005,16863,643,0,18.9,,0,2,0,0.666098807496,0.321196988895,0.3212890625
11056,6730,45,318,2005,13314,508,1,18.9,,0,1,0,0.180011357183,0.188939405232,0.189453125
11057,6731,35,365,2005,13514,515,1,18.9,,0,2,0,0.206700738217,0.196392636208,0.1962890625
11058,6731,35,703,2008,14118,538,1,17.8,,3,2,1,0.266616027345,0.237911418123,0.237486687966
11059,6732,30,1457,2005,18566,708,1,18.9,,0,1,0,0.826802952868,0.384661250652,0.384765625
11060,6733,25,1643,2005,20780,793,1,18.9,,0,5,0,0.93242475866,0.467168517552,0.4677734375
11061,6733,30,172,2009,12131,463,1,14.4,,4,5,1,0.0617328519856,0.146294154948,0.146627565982
11062,6733,30,191,2012,12092,461,1,20.6,,1,5,3,0.0485560950677,0.155884363315,0.155953635406
11063,6733,30,180,2011,11760,448,1,11.1,,2,5,2,0.0506078597682,0.154087409881,0.153681963714
11064,6733,30,34,2015,10791,411,1,11.7,,3,5,4,0.0119912790698,0.0897224880383,0.0892678034102
11065,6734,50,367,2005,13517,515,1,18.9,,0,2,0,0.207836456559,0.196504434672,0.1962890625
11066,6734,50,836,2006,14853,566,1,21.1,,1,2,1,0.337101332257,0.216564295621,0.21645021645
11067,6735,15,520,2005,14151,540,1,18.9,,0,2,0,0.29471890971,0.220131176865,0.220703125
11068,6735,25,64,2012,11097,423,1,20.6,,7,2,1,0.0161001788909,0.115877930119,0.115911485774
11069,6736,35,1059,2005,16353,624,0,18.9,,0,3,0,0.600795002839,0.302191249907,0.302734375
11070,6736,40,1305,2007,16710,637,0,22.2,,1,3,2,0.512981904013,0.292888626662,0.292993630573
11071,6736,40,1005,2006,15453,589,0,21.1,,1,3,1,0.405329027049,0.236378046364,0.236363636364
11072,6737,60,1239,2005,17176,655,1,18.9,,0,2,0,0.703009653606,0.332861295372,0.3330078125
11073,6737,65,2155,2008,18726,714,1,17.8,,3,2,1,0.818078237752,0.425152377082,0.424920127796
11074,6738,45,1950,2012,16265,620,1,20.6,,1,9,6,0.498083312037,0.323670137912,0.323498419389
11075,6738,40,789,2009,14191,541,1,14.4,,1,9,3,0.284476534296,0.223134022157,0.222873900293
11076,6738,45,3662,2013,15453,589,1,19.4,7403.0,1,9,7,0.964690382082,0.464786919016,0.464527027027
11077,6738,45,739,2010,14426,550,1,21.7,,1,9,4,0.256072172103,0.205807608939,0.205680705191
11078,6738,40,540,2006,13838,528,1,21.1,,1,9,1,0.217601937828,0.183046033948,0.18354978355
11079,6738,40,990,2008,14947,570,1,17.8,,2,9,2,0.37561716673,0.271596911824,0.271565495208
11080,6738,45,820,2011,13819,527,1,11.1,,1,9,5,0.23155216285,0.237953647509,0.237993596585
11081,6738,40,386,2005,13592,518,1,18.9,,0,9,0,0.218625780806,0.199299396288,0.19921875
11082,6738,45,1360,2014,15985,610,1,22.8,,1,9,8,0.383789889862,0.305094953226,0.305263157895
11083,6739,20,451,2005,13947,532,0,18.9,,0,1,0,0.255536626917,0.21252888127,0.212890625
11084,6740,55,753,2008,14228,543,1,17.8,,1,5,3,0.285605772883,0.242381145876,0.242811501597
11085,6740,55,743,2005,15013,573,1,18.9,,0,5,0,0.421351504827,0.25225460237,0.2529296875
11086,6740,60,940,2009,14680,560,1,14.4,,1,5,4,0.338989169675,0.241374165392,0.241446725318
11087,6740,55,824,2006,14823,565,1,21.1,,1,5,1,0.332256762212,0.215573608084,0.215584415584
11088,6740,55,676,2007,14725,562,1,22.2,,1,5,2,0.265538945712,0.223996112866,0.22474977252
11089,6741,50,2202,2013,14484,552,1,19.4,6939.0,4,5,3,0.579973649539,0.40240762199,0.402027027027
11090,6741,45,2680,2014,19268,735,1,22.8,,1,5,4,0.756565941824,0.43690528767,0.436842105263
11091,6741,45,644,2008,13913,531,1,17.8,,3,5,1,0.244208127611,0.229581470947,0.230031948882
11092,6741,45,1107,2009,15152,578,1,14.4,,1,5,2,0.399277978339,0.258980193219,0.259042033236
11093,6741,40,318,2005,13314,508,1,18.9,,0,5,0,0.180011357183,0.188939405232,0.189453125
11094,6742,30,1829,2006,18656,712,0,21.1,,1,3,1,0.737989503432,0.342150452414,0.342857142857
11095,6742,30,1214,2005,17050,650,0,18.9,,0,3,0,0.688813174333,0.328165759857,0.328125
11096,6742,30,1846,2007,18734,715,0,22.2,,1,3,2,0.725806451613,0.363134696144,0.363967242948
11097,6743,25,891,2005,15663,597,1,18.9,,0,1,0,0.505394662124,0.276477603041,0.2763671875
11098,6744,25,289,2005,13145,501,0,18.9,,0,1,0,0.163543441227,0.182641425058,0.1826171875
11099,6745,30,428,2005,13832,527,0,18.9,,0,1,0,0.242475865985,0.208243273459,0.2080078125
11100,6746,40,946,2005,15872,605,1,18.9,,0,1,0,0.536626916525,0.28426622941,0.2841796875
11101,6747,50,1739,2005,24608,939,0,18.9,,0,1,0,0.986939239069,0.609823358426,0.6103515625
11102,6748,35,1101,2005,16534,631,1,18.9,,0,1,0,0.624645088018,0.30893642394,0.3095703125
11103,6749,25,1719,2005,23640,902,0,18.9,,0,1,0,0.97558205565,0.573749720504,0.57421875
11104,6750,60,192,2006,12381,472,1,21.1,,1,2,1,0.0771094065402,0.13493164256,0.135064935065
11105,6750,60,118,2005,11969,456,1,18.9,,0,2,0,0.0664395229983,0.138816426921,0.138671875
11106,6751,60,1749,2005,25491,972,1,18.9,,0,1,0,0.992617830778,0.642729373183,0.642578125
11107,6752,40,1514,2005,19110,729,0,18.9,,0,2,0,0.85917092561,0.404934038906,0.4052734375
11108,6752,40,1756,2008,17239,657,0,17.8,,3,2,1,0.666540068363,0.36472978464,0.364217252396
11109,6753,40,1872,2008,17585,671,0,17.8,,2,3,2,0.71059627801,0.378789110118,0.379126730564
11110,6753,35,820,2005,15336,585,0,18.9,,0,3,0,0.465076660988,0.264291570396,0.2646484375
11111,6753,40,971,2006,15305,584,0,21.1,,1,3,1,0.391602745256,0.231490654514,0.232034632035
11112,6754,35,17,2005,10187,388,0,18.9,,0,1,0,0.00908574673481,0.0724081389282,0.072265625
11113,6755,55,900,2005,15725,600,1,18.9,,0,1,0,0.510505394662,0.278788104643,0.279296875
11114,6756,25,1190,2005,16949,646,1,18.9,,0,1,0,0.675184554231,0.324401878214,0.32421875
11115,6757,30,1107,2005,16569,632,1,18.9,,0,1,0,0.628052243044,0.310240739361,0.310546875
11116,6758,45,762,2005,15103,576,1,18.9,,0,1,0,0.432140829074,0.255608556309,0.255859375
11117,6759,35,346,2005,13442,513,1,18.9,,0,1,0,0.195911413969,0.193709473057,0.1943359375
11118,6760,40,521,2005,14160,540,0,18.9,,0,1,0,0.295286768881,0.220466572259,0.220703125
11119,6761,50,1576,2005,19919,760,1,18.9,,0,1,0,0.894378194208,0.435082358202,0.435546875
11120,6762,50,1135,2005,16691,637,1,18.9,,0,1,0,0.64395229983,0.314787210256,0.3154296875
11121,6763,40,782,2005,15183,579,0,18.9,,0,1,0,0.443498012493,0.258589848699,0.2587890625
11122,6764,40,678,2005,14749,562,1,18.9,,0,1,0,0.384440658717,0.242416337482,0.2421875
11123,6765,30,140,2005,12236,467,1,18.9,,0,1,0,0.0789324247587,0.148766490274,0.1494140625
11124,6766,55,1446,2005,18488,705,0,18.9,,0,1,0,0.820556501988,0.381754490572,0.3818359375
11125,6767,35,799,2012,14039,535,1,20.6,,7,2,1,0.203935599284,0.234168308472,0.233930453109
11126,6767,35,459,2005,13959,532,1,18.9,,0,2,0,0.260079500284,0.212976075129,0.212890625
11127,6768,25,928,2005,15801,603,1,18.9,,0,1,0,0.526405451448,0.281620332414,0.2822265625
11128,6769,40,879,2005,15591,595,1,18.9,,0,1,0,0.498580352073,0.27379443989,0.2744140625
11129,6770,45,362,2005,13495,515,1,18.9,,0,1,0,0.204997160704,0.195684579265,0.1962890625
